meanWidth,meanHeight,meanLength,meanVolume,countStacking,countTurnover,boxesCount,loadingWidth,loadingHeight,loadingLength,density_percent
1092.3076923076924,2315.3846153846152,2126.153846153846,5350661538.461538,0,0,13,2480.0,2860.0,13600.0,89.11539
180.08849557522123,218.8053097345133,242.30088495575222,7617548.672566372,226,226,226,800.0,2000.0,1200.0,89.6649
1047.5,851.25,1980.0,4767922375.0,0,0,8,2490.0,2590.0,13490.0,69.07196
954.1875,1757.0,1633.0625,4539186141.5,0,0,16,2480.0,2860.0,13600.0,91.01151
687.8260869565217,1290.0,715.2173913043479,635243739.1304348,0,0,23,2359.0,2700.0,12022.0,46.06144
1655.0,1515.0,6000.0,24911215000.0,2,2,2,2352.0,2393.0,12032.0,85.99415
820.0,830.0,1250.0,850750000.0,0,0,8,2480.0,2700.0,5800.0,100.0
847.5,797.8333333333334,3828.0,5214067075.0,0,0,6,2480.0,2860.0,13600.0,87.57839
847.5,797.8333333333334,3828.0,5214067075.0,0,0,6,2480.0,2860.0,13600.0,87.57839
300.0,310.0,200.0,18600000.0,96,96,96,800.0,2000.0,1200.0,100.0
720.0,600.0,1420.0,613440000.0,2,2,2,1000.0,2330.0,1300.0,100.0
308.2857142857143,386.0,481.14285714285717,57199428.571428575,35,35,35,800.0,2500.0,1200.0,91.01564
308.2857142857143,386.0,481.14285714285717,57199428.571428575,35,35,35,800.0,2500.0,1200.0,91.01564
720.0,600.0,1420.0,613440000.0,2,2,2,1000.0,2330.0,1300.0,100.0
720.0,600.0,1420.0,613440000.0,2,2,2,1000.0,2330.0,1300.0,100.0
640.0,576.6666666666666,1346.6666666666667,510720000.0,3,3,3,1000.0,2330.0,1300.0,93.33333
640.0,576.6666666666666,1346.6666666666667,510720000.0,3,3,3,1000.0,2330.0,1300.0,93.33333
510.0,472.0,786.0,232643400.0,5,5,5,1000.0,2330.0,1100.0,89.60319
425.0,458.75,446.25,87202500.0,16,16,16,1000.0,2330.0,1100.0,93.80042
424.2857142857143,410.0,618.5714285714286,146671714.2857143,14,14,14,800.0,2500.0,1200.0,85.90211
200.0,15.0,350.0,1050000.0,90,0,90,500.0,450.0,600.0,100.0
400.0,30.0,500.0,6000000.0,15,0,15,500.0,450.0,600.0,100.0
460.0,466.6666666666667,562.5,139225750.0,12,12,12,1000.0,2330.0,1100.0,81.90553
417.85714285714283,452.14285714285717,608.5714285714286,113200000.0,14,14,14,1000.0,2330.0,1100.0,64.4102
371.25,356.875,567.5,96023562.5,16,16,16,800.0,2500.0,1202.0,69.76986
353.1578947368421,362.10526315789474,592.1052631578947,80416210.5263158,19,19,19,800.0,2500.0,1210.0,73.23593
347.36842105263156,353.6842105263158,586.3157894736842,76749473.68421052,19,19,19,800.0,2330.0,1200.0,69.55128
371.25,356.875,567.5,96023562.5,16,16,16,800.0,2500.0,1200.0,69.88614
371.25,356.875,567.5,96023562.5,16,16,16,800.0,2500.0,1202.0,69.76986
460.0,466.6666666666667,562.5,139225750.0,12,12,12,1000.0,2330.0,1100.0,81.90553
347.36842105263156,353.6842105263158,586.3157894736842,76749473.68421052,19,19,19,800.0,2330.0,1200.0,69.55128
235.11864406779662,202.10169491525423,356.66101694915255,19064436.01694915,59,0,59,800.0,1800.0,1200.0,70.58244
235.11864406779662,202.10169491525423,356.66101694915255,19064436.01694915,59,0,59,800.0,1800.0,1200.0,72.2806
800.0,1977.5,2000.0,3164000000.0,0,0,4,2480.0,2860.0,13600.0,83.43882
1020.0,1412.0,1312.0,1964623000.0,0,5,5,2490.0,2590.0,13490.0,72.31059
977.1428571428571,1715.7142857142858,1662.857142857143,2676320000.0,0,0,7,2480.0,2860.0,13600.0,59.05741
977.1428571428571,1715.7142857142858,1662.857142857143,2676320000.0,3,0,7,2480.0,2860.0,13600.0,59.05741
1135.2631578947369,2225.7894736842104,1417.3684210526317,3462761578.9473686,1,0,19,2480.0,2860.0,13600.0,76.83394
1354.1666666666667,1150.0,1566.6666666666667,3814291666.6666665,6,12,12,2480.0,2860.0,13600.0,54.19568
1354.1666666666667,1375.0,1566.6666666666667,4030291666.6666665,6,12,12,2480.0,2860.0,13600.0,57.26473
921.7391304347826,1895.6521739130435,1417.391304347826,2553043478.2608695,0,0,23,2400.0,2650.0,13600.0,92.67677
947.8260869565217,2000.0,1434.7826086956522,2747826086.9565215,0,0,23,2400.0,2650.0,13600.0,96.81373
381.0,392.0,569.0,86128400.0,10,10,10,800.0,2500.0,1200.0,64.54621
385.0,425.0,784.2857142857143,131648000.0,14,0,14,800.0,2500.0,1200.0,79.66252
462.5,449.5,924.0,231543700.0,20,0,20,2490.0,2590.0,13490.0,69.18857
462.5,449.5,924.0,231543700.0,20,0,20,2352.0,2698.0,12032.0,37.71856
462.5,449.5,924.0,231543700.0,20,0,20,1978.0,2100.0,4168.0,46.93645
462.5,449.5,924.0,231543700.0,20,20,20,1978.0,2100.0,4168.0,40.03403
927.2727272727273,2000.0,1436.3636363636363,2705454545.4545455,0,0,22,2400.0,2650.0,13600.0,91.17647
528.7037037037037,1552.7777777777778,42.22222222222222,33870675.925925925,0,0,27,800.0,2000.0,1200.0,56.27605
481.22222222222223,1635.6666666666667,37.333333333333336,28981605.555555556,0,0,45,800.0,2000.0,1200.0,74.23567
